Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
APT 34,12/7/2017,Possibly linked to OilRig,"This threat actor targets organizations in the financial, energy, government, chemical, and telecommunications sectors worldwide for the purpose of espionage.",,,Iran (Islamic Republic of),Espionage,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2017/12/targeted-attack-in-middle-east-by-apt34.html,https://www.wired.com/story/apt-34-iranian-hackers-critical-infrastructure-companies/,
Greenbug,1/23/2017,,Greenbug is believed to be an Iranian threat actor with ties to the group behind the Shamoon malware. It has previously used off-the-shelf tools and living-off-the-land techniques to gain access to South Asian telecommunication companies’ servers. It has also used custom remote access trojans (RAT) to steal information and credentials from Middle Eastern targets.,,"South Asian telecommunication providers, Middle Eastern government, aviation, education, and investment organizations",Iran (Islamic Republic of),,,https://www.cyberscoop.com/greenbug-symantec-iran-hacking-pakistan/,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/greenbug-espionage-telco-south-asia,https://www.cyberscoop.com/shamoon-greenbug-symantec-hacking-campaign/
Targeting of the government of Belarus,9/28/2017,Possibly linked to NetTraveler,"A threat actor targeted the government of Belarus for espionage purposes, using a tool known as Travle or PYLOT, which is believed to be an update of malware used by NetTraveler.",,Belarus,,Espionage,Government,https://researchcenter.paloaltonetworks.com/2017/09/unit42-threat-actors-target-government-belarus-using-cmstar-trojan/,https://securelist.com/travle-aka-pylot-backdoor-hits-russian-speaking-targets/83455/,
Targeting of Chinese-language news websites,7/5/2017,Believed to be the work of Winnti Umbrella,"A threat actor targeted the China Digital Times, a civil-society and news organization based outside China that publishes English- and Chinese-language content, using phishing techniques with the goal of compromising its network.",,United States,China,Espionage,Civil society,https://citizenlab.ca/2017/07/insider-information-an-intrusion-campaign-targeting-chinese-language-news-sites/,https://401trg.com/burning-umbrella/,
Attempted compromise of email accounts associated with the UK Parliament,6/25/2017,,"A threat actor attempted to gain access to email accounts associated with members and other staffers of the British Parliament. The incident, originally believed to be the work of Russian or North Korean actors, was later attributed to Iran.",,UK Parliament,Iran (Islamic Republic of),Espionage,Government,https://www.theguardian.com/politics/2017/jun/24/cyber-attack-parliament-email-access,https://www.thetimes.co.uk/article/iran-attacks-9-000-email-accounts-in-parliament-w5mr836cg,https://www.theguardian.com/world/2017/oct/14/iran-to-blame-for-cyber-attack-on-mps-emails-british-intelligence
CopyKittens,7/25/2017,,"This threat actor targets government institutions, universities, defense contractors, and large IT companies for the purpose of espionage.",,"Israel, Saudi Arabia, United States, Jordan, Germany",Iran (Islamic Republic of),Espionage,"Government, Private sector, Civil society",http://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,http://blog.trendmicro.com/copykittens-exposed-clearsky-trend-micro/,https://s3-eu-west-1.amazonaws.com/minervaresearchpublic/CopyKittens/CopyKittens.pdf
Compromise of the Czech foreign minister's computer,1/31/2017,APT 28,"A threat actor compromised the computer networks of the Ministry of Foreign Affairs of the Czech Republic, including those used by the foreign minister and close aides.",,Czech Republic,Russian Federation,Espionage,Government,https://www.nytimes.com/2017/01/31/world/europe/czech-government-suspects-foreign-power-in-hacking-of-its-email.html?_r=1,http://neovlivni.cz/bleskova-zprava-kdosi-napadl-ucty-ministerstva-zahranici/,https://www.reuters.com/article/us-czech-security-russia/czech-security-service-says-russia-behind-cyber-attacks-on-ministry-idUSKBN1O21BN
Sowbug,11/7/2017,,This threat actor targets government organizations with a foreign policy role primarily in Latin America for espionage purposes. The threat actor uses the tools Felismus and Starloader.,,"Argentina, Brazil, Peru, Ecuador, Brunei, Malaysia",,Espionage,Government,https://www.symantec.com/connect/blogs/sowbug-cyber-espionage-group-targets-south-american-and-southeast-asian-governments,https://www.cyberscoop.com/previously-unknown-cyber-espionage-group-successfully-hacked-south-america-since-2015/,
Targeting of U.S. electric companies,10/10/2017,,A threat actor targeted U.S. electric companies with spear-phishing emails in an attempt to gain access to internal networks.,,United States,Korea (Democratic People's Republic of),Espionage,,https://www.fireeye.com/blog/threat-research/2017/10/north-korean-actors-spear-phish-us-electric-companies.html,,
"Compromise of Qatari website, leading to diplomatic rift",7/16/2017,,"Qatar claims the website of the Qatar News Agency was compromised by an unknown actor, who posted false remarks attributed to the Emir of Qatar that expressed support for Iran, Israel, Hezbollah and Hamas. The Washington Post reports that U.S. intelligence officials have identified the unknown actor as the United Arab Emirates.",Denouncement   https://www.reuters.com/article/us-gulf-qatar-emirates-statement/qatar-accuses-uae-of-hack-that-sparked-gulf-crisis-idUSKBN1A21H8,Qatar News Agency,United Arab Emirates,Defacement,Government,https://www.washingtonpost.com/world/national-security/uae-hacked-qatari-government-sites-sparking-regional-upheaval-according-to-us-intelligence-officials/2017/07/16/00c46e54-698f-11e7-8eb5-cbccc2e7bfbf_story.html?utm_term=.1fed4b000ad2,http://www.aljazeera.com/news/2017/05/cyberattack-qatar-puts-fake-news-focus-170525190113354.html,https://motherboard.vice.com/en_us/article/8x9xmk/the-hack-that-caused-a-crisis-in-the-middle-east-was-easy
Attempted compromise of Norwegian government networks,2/4/2017,Believed to be the work of the Dukes,"A threat actor targeted the computer networks of the Norwegian government: the Ministry of Foreign Affairs, the army, a nuclear radiation protection agency, and a parliamentary group.",Denouncement   http://www.tv2.no/nyheter/8903847/,Norway,Russian Federation,Espionage,"Government, Military",http://www.ibtimes.co.uk/norway-blames-russia-linked-hackers-cyberattack-targeting-spy-agency-ministries-1604809,http://www.tv2.no/nyheter/8902520/,
Compromise of Israeli Defense Force personnel,2/16/2017,,"A threat actor used a tool called ViperRAT to target Israeli Defense Force personnel and compromise devices running the Android operating system, allowing a remote actor to access the devices' video and audio capabilities as well as text message and location data.",,Israel Defense Force,,Espionage,Military,https://securelist.com/blog/incidents/77562/breaking-the-weakest-link-of-the-strongest-chain/,https://blog.lookout.com/blog/2017/02/16/viperrat-mobile-apt/,
Mexico accused of targeting journalists and civil society groups,6/19/2017,,"A threat actor targets journalists, lawyers, and other civil society groups in Mexico using commercial malware, developed by the NSO Group, for the purpose of espionage.",,"Aristegui Noticias, Carlos Loret de Mola, Mexicans against Corruption and Impunity, Centro PRODH, Mexican Institute for Competitiveness",Mexico,Espionage,Civil society,https://citizenlab.ca/2017/06/reckless-exploit-mexico-nso/,https://www.nytimes.com/2017/06/19/world/americas/mexico-spyware-anticrime.html,
Targeting North Korea's Reconnaissance General Bureau,9/30/2017,,"U.S. government officials told the Washington Post that the United States had launched a denial of service campaign against North Korea's Reconnaissance General Bureau, the country's intelligence agency.",,North Korea,United States,Denial of service,Government,https://www.washingtonpost.com/world/national-security/trump-signed-presidential-directive-ordering-actions-to-pressure-north-korea/2017/09/30/97c6722a-a620-11e7-b14f-f41773cd5a14_story.html,https://arstechnica.com/information-technology/2017/10/as-us-launches-ddos-attacks-n-korea-gets-more-bandwidth-from-russia/,
Distributed denial of service against the government of Montenegro,2/17/2017,,A threat actor launched a distributed denial of service attack against government of Montenegro websites.,,Montenegro,Russian Federation,Denial of service,Government,http://www.gov.me/en/News/169508/Web-portal-of-Government-of-Montenegro-and-several-other-web-sites-were-under-enhanced-cyberattacks.html,http://www.telegraph.co.uk/news/2017/02/28/montenegro-asks-british-help-cyber-attacks-wake-russian-backed/,http://www.balkaninsight.com/en/article/montenegro-govt-on-alert-over-new-cyber-attacks-02-21-2017
Compromise of Singapore's Ministry of Defense,2/28/2017,,"A threat actor compromised an internet-facing computer network in the Ministry of Defense of Singapore, compromising the personal data of approximately 850 servicemen and employees.",,Ministry of Defense,,Espionage,Military,https://www.mindef.gov.sg/imindef/press_room/details.html?name=28feb17_nr&date=2017-02-28,http://www.straitstimes.com/singapore/personal-data-of-850-mindef-servicemen-and-staff-leaked-due-targeted-planned-cyber-attack,http://www.channelnewsasia.com/news/singapore/mindef-internet-system-breached-data-stolen-from-national/3555196.html
Compromise the North Korean nuclear program,3/4/2017,,"A threat actor, believed to be the United States, targeted computer networks and electronic components associated with the North Korean nuclear program to sabotage and slow its development.",,North Korea,United States,Sabotage,Military,https://www.nytimes.com/2017/03/04/world/asia/north-korea-missile-program-sabotage.html,,
Targeting of Marco Rubio's presidential campaign,3/30/2017,,A threat actor targeted the presidential campaign of U.S. Senator Marco Rubio.,,The 2016 presidential campaign of Marco Rubio,Russian Federation,Espionage,Civil society,https://www.nytimes.com/2017/03/30/us/politics/marco-rubio-russian-cyberattacks.html,,
Longhorn,4/10/2017,Also known as the Lamberts,"This threat actor compromises governments, international organizations, academic institutions, and financial, telecommunications, energy, aerospace, information technology, and natural resource  industries for espionage purposes. Some of the tools used by this threat actor were released by Wikileaks under the name ""Vault 7.""",,Global,United States,Espionage,"Private sector, Government",https://www.symantec.com/connect/blogs/longhorn-tools-used-cyberespionage-group-linked-vault-7,https://securelist.com/77990/unraveling-the-lamberts-toolkit/,
Phishing campaign against Montenegro,6/6/2017,Believed to be the work of APT 28,A threat actor targeted officials from Montenegro for the purpose of espionage. The phishing campaign came during the country’s accession to NATO.,,Montenegro,Russian Federation,Espionage,Government,https://www.cyberscoop.com/apt28-targeted-montenegros-government-joined-nato-researchers-say/,https://www.theregister.co.uk/2017/06/06/russian_hackers_target_montenegro/,http://pwc.blogs.com/cyber_security_updates/2017/06/-montenegro-targeted-ahead-of-nato-accession.html
Compromise of a Danish Ministry of Defense e-mail service,4/23/2017,Believed to be the work of APT 28,"A threat actor compromised an email service maintained by the Danish Ministry of Defense, and is also believed to have compromised Ministry of Foreign Affairs networks.",Denouncement   https://fe-ddis.dk/cfcs/nyheder/arkiv/2017/Pages/Udenlandskaktoerspionerermoddanskemyndigheder.aspx,Denmark,Russian Federation,Espionage,"Military, Government",https://translate.google.com/translate?hl=en&sl=da&tl=en&u=https%3A//fe-ddis.dk/cfcs/nyheder/arkiv/2017/Pages/Udenlandskaktoerspionerermoddanskemyndigheder.aspx,http://www.reuters.com/article/us-denmark-security-russia-idUSKBN17P0NR,
Targeting of French presidential candidate Emmanuel Macron's campaign,4/26/2017,Believed to be the work of APT 28,A threat actor targeted the campaign of French presidential candidate Emmanuel Macron. The U.S. National Security Agency has confirmed that it believes Russia was responsible.,,Emmanuel Macron's 2017 presidential election campaign,Russian Federation,Espionage,Civil society,https://motherboard.vice.com/en_us/article/evidence-linking-russian-hackers-fancy-bear-to-macron-phishing,https://www.threatconnect.com/blog/activity-targeting-french-election/?utm_campaign=DNC%20Guccifer%202.0%20Fancy%20Bears%20Research&utm_source=twitter&utm_medium=social,http://www.france24.com/en/20170426-france-macron-cyber-security-russia-presidential-campaign
Magic Hound,2/15/2017,Also known as Cobalt Gypsy and possibly associated with Rocket Kitten,"This threat actor targets entities in the government, energy, and technology sectors that are located in or do business with Saudi Arabia.",,Saudi Arabia,Iran (Islamic Republic of),Espionage,"Government, Private sector",http://researchcenter.paloaltonetworks.com/2017/02/unit42-magic-hound-campaign-attacks-saudi-targets/,https://www.secureworks.com/blog/iranian-pupyrat-bites-middle-eastern-organizations,
WhiteBear,8/30/2017,Associated with Turla,This threat actor targets defense contractors and diplomatic institutions for the purpose of espionage.,,"United States, United Kingdom, Uzbekistan, South Korea",Russian Federation,Espionage,"Government, Private sector",https://securelist.com/introducing-whitebear/81638/,,
Compromise of the Italian Ministry of Foreign Affairs,2/10/2017,,A threat actor compromised the Italian Ministry of Foreign Affairs’ computer networks.,,Italy,Russian Federation,Espionage,Government,https://www.theguardian.com/world/2017/feb/10/russia-suspected-over-hacking-attack-on-italian-foreign-ministry,,
Operation BugDrop,2/17/2017,,"This threat actor targets critical infrastructure entities in the oil and gas sector, primarily in Ukraine. The threat actors deploy the BugDrop malware to remotely access the microphones in their targets' computers to eavesdrop on conversations.",,"Ukraine, Russia, Saudi Arabia, Austria",Russian Federation,Espionage,Private sector,https://cyberx-labs.com/en/blog/operation-bugdrop-cyberx-discovers-large-scale-cyber-reconnaissance-operation/,,
Targeting of employees of companies that operate U.S. nuclear power plants,6/30/2017,,"A threat actor targeted employees of companies that operate nuclear power plants in the United States, which prompted the Department of Homeland Security and the FBI to issue an alert to the industry. An administrative network of the Wolf Creek Nuclear Operating Corporation was compromised.",,United States,Russian Federation,Espionage,Private sector,https://www.reuters.com/article/us-usa-cyber-energy/u-s-warns-businesses-of-hacking-campaign-against-nuclear-energy-firms-idUSKBN19L2Z9,https://www.washingtonpost.com/world/national-security/us-officials-say-russian-government-hackers-have-penetrated-energy-and-nuclear-company-business-networks/2017/07/08/bbfde9a2-638b-11e7-8adc-fea80e32bf47_story.html,https://www.us-cert.gov/ncas/alerts/TA17-293A
Spear-phishing campaign against Google accounts in 2015,6/26/2016,Believed to be the work of APT 28,"A threat actor conducted a spear-phishing campaign against more than 1,800 Google accounts, including those of military and government personnel, journalists, and nongovernmental organizations, for the purpose of espionage.",,"United States, European Union",Russian Federation,Espionage,"Government, Private sector, Civil society",https://www.secureworks.com/research/threat-group-4127-targets-google-accounts,,
Lazarus Group,2/1/2016,"Believed to be responsible for Dark Seoul, Ten Days of Rain, the Sony Pictures Entertainment attack, the SWIFT-related bank heists, WannaCry, and Operation GhostSecret. Believed to use the same tools as Covellite. Known to the U.S. government as Hidden Cobra.","This threat actor targets and compromises entities primarily in South Korea and South Korean interests for espionage, disruption, and destruction. It has also been known to conduct cyber operations for financial gain, including targeting cryptocurrency exchanges. In 2018, the U.S. Department of Homeland Security issued a malware analysis report on a tool called Typeframe used by the Lazarus Group.

In September 2018, the U.S. Department of Justice criminally charged and sanctioned Park Jin-hyok and Chosun Expo Joint Venture, alleged members of this threat actor.",Sanctions   https://fcw.com/articles/2019/09/13/dprk-cyber-sanctions-johnson.aspx,"South Korea, Sony Pictures Entertainment , United States, Bangladesh Bank, Defense companies in Israel and the Middle East, Global banks, U.S. defense contractors",Korea (Democratic People's Republic of),Espionage,"Government, Private sector",https://www.operationblockbuster.com/wp-content/uploads/2016/02/Operation-Blockbuster-Report.pdf,https://securelist.com/blog/sas/77908/lazarus-under-the-hood/,https://www.us-cert.gov/ncas/alerts/TA17-164A
Shamoon 2.0,12/1/2016,Believed to have been partially the work of Chrysene,A threat actor used malware known as Shamoon 2.0 to exfiltrate and delete data from computers in the Saudi transportation sector.,,General Authority of Civil Aviation of Saudi Arabia,,Data destruction,Government,https://www.bloomberg.com/news/articles/2016-12-01/destructive-hacks-strike-saudi-arabia-posing-challenge-to-trump,https://www.fireeye.com/blog/threat-research/2016/11/fireeye_respondsto.html,https://securelist.com/blog/research/77725/from-shamoon-to-stonedrill/
SWIFT-related bank heists,5/26/2016,Believed to be the work of Lazarus Group,"A threat actor targets the worldwide financial transfer mechanism known as SWIFT to steal funds from banks in Bangladesh, Vietnam, Ecuador, and Poland. This is the first instance in where a state-sponsored actor was discovered to have compromised networks for financial gain.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.",Criminal charges   https://www.justice.gov/opa/press-release/file/1092091/download,"Bangladesh Central Bank, Tien Phong Bank, Banco Del Austro, Poland",Korea (Democratic People's Republic of),Financial Theft,Government,https://www.symantec.com/connect/blogs/swift-attackers-malware-linked-more-financial-attacks,https://www.nytimes.com/2016/05/27/business/dealbook/north-korea-linked-to-digital-thefts-from-global-banks.html?_r=0,https://www.symantec.com/connect/blogs/attackers-target-dozens-global-banks-new-malware
Compromise of South Korean government computers (2016),12/6/2016,,"A threat actor compromised computers associated with the South Korean Ministry of National Defense. In October 2017, South Korean officials confirmed that North Korea had exfiltrated over two hundred gigabytes of data from the defense ministry networks, including military plans the United States and South Korea would implement in the event of a war with North Korea.",Denouncement   http://english.yonhapnews.co.kr/news/2016/12/05/0200000000AEN20161205010451315.html,South Korea,Korea (Democratic People's Republic of),Espionage,Military,http://english.yonhapnews.co.kr/news/2016/12/05/0200000000AEN20161205010451315.html,https://www.wsj.com/articles/north-korea-suspected-of-hacking-u-s-south-korean-war-plans-1507636641,
Denial of service incident against media websites in Sweden,3/19/2016,,"A threat actor launched a denial of service attack on ten news websites in Sweden, triggering a local police investigation. U.S. diplomatic cables later revealed that the United States suspected that Russia was responsible for the incident.",,Sweden,Russian Federation,Denial of service,Private sector,https://web.archive.org/web/20161224075821/https://polisen.se/Aktuellt/Nyheter/2016/Jan-Mars/Mars/Inledd-forundersokning-med-anledning-av-it-attacker/,https://www.newsweek.com/major-cyber-attacks-false-propaganda-swedish-media-438881,https://www.buzzfeednews.com/article/kevincollier/2016-sweden-ddos-expressen-hack-russia-cables
Compromise of Ukrainian banks,12/13/2016,Believed to be the work of Sandworm.,A threat actor compromised Ukrainian banks.,,Ukraine,Russian Federation,Data destruction,Private sector,http://www.welivesecurity.com/2016/12/13/rise-telebots-analyzing-disruptive-killdisk-attacks/,http://www.theregister.co.uk/2016/12/15/ukraine_banks_apt,
Stealth Falcon,5/29/2016,,"This threat actor targets civil society groups and Emirati journalists, activists, and dissidents.",,"United Arab Emirates, United Kingdom",United Arab Emirates,Espionage,Civil society,https://citizenlab.ca/2016/05/stealth-falcon/,,
Compromise of the Democratic National Committee,6/14/2016,This incident is believed to be the work of APT 28. The Dukes were also found to be in the Democratic National Committee's networks.,"In June 2016, suspected Russian threat actors were discovered in the networks of the U.S. Democratic National Committee (DNC). Intruders gained access to its research on Republican presidential candidate Donald J. Trump and emails and correspondences among DNC officials. Over the course of the presidential campaign, the threat actors released DNC correspondence through intermediaries such as WikiLeaks, revealing information about infighting among top party officials and leading to the resignation of the DNC chair. The threat actors also went after John Podesta, chairman of Hillary Clinton’s campaign, and released more embarrassing data throughout the summer.

The secretary of homeland security and the director of national intelligence released a joint statement asserting that the protracted cyber espionage campaign was the work of Russian actors. The Barack Obama administration subsequently sanctioned Russian intelligence officials and deported suspected officers working in the United States. The DNC compromise is believed to be part of a larger Russian espionage campaign waged for the purpose of manipulating the electoral systems in Western democracies and undermining faith in the democratic process in the United States, France, Germany, and elsewhere.

In July 2018, the U.S. Department of Justice indicted twelve officials of the Russian military intelligence agency, known as GRU, believed to have been responsible for this incident.

 

In October 2018, the UK government announced that the compromise was the work of Russian military intelligence.",Sanctions   https://obamawhitehouse.archives.gov/the-press-office/2016/12/29/fact-sheet-actions-response-russian-malicious-cyber-activity-and,"Democratic National Committee, Democratic Congressional Campaign Committee",Russian Federation,Espionage,Civil society,https://www.washingtonpost.com/world/national-security/russian-government-hackers-penetrated-dnc-stole-opposition-research-on-trump/2016/06/14/cf006cb4-316e-11e6-8ff7-7b6c1998b7a0_story.html,http://www.esquire.com/news-politics/a49791/russian-dnc-emails-hacked/,https://www.us-cert.gov/security-publications/GRIZZLY-STEPPE-Russian-Malicious-Cyber-Activity
OilRig,1/5/2016,"Also known as Twisted Kitten and Crambus; possibly related to Magic Hound, APT 34, and Chrysene. Believed to use similar tools and infrastructure as Chafer","A threat actor believed to be Iran that targets private-sector and government entities for the purpose of espionage. In October 2019, revealed to have been compromised by Turla. Some operations previously attributed to the group may be Turla false flags.",,"Israel, Turkey, Qatar, Kuwait, Saudi Arabia, Lebanon, United States",Iran (Islamic Republic of),Espionage,"Government, Private sector, Civil society",https://researchcenter.paloaltonetworks.com/2016/05/the-oilrig-campaign-attacks-on-saudi-arabian-organizations-deliver-helminth-backdoor/,https://www.gov.il/en/Departments/publications/reports/attack_il,https://www.forbes.com/sites/thomasbrewster/2017/02/15/oilrig-iran-hackers-cyberespionage-us-turkey-saudi-arabia/#381fa5df468a
Targeting of the Islamic State group,2/28/2016,"Believed to be associated with the United Kingdom’s cyber operations against the Islamic State, revealed in 2018.","The United States announced that it would conduct offensive cyber operations against the Islamic State with a view to disrupting its ability to recruit, communicate with, and exercise command and control over its fighters.",,The Islamic State Group,United States,Sabotage,Civil society,http://www.npr.org/templates/transcript/transcript.php?storyId=468446138,https://www.nytimes.com/2016/04/25/us/politics/us-directs-cyberweapons-at-isis-for-first-time.html,https://www.nytimes.com/2017/06/12/world/middleeast/isis-cyber.html
"A compromise causes a power outage in Kiev, Ukraine",12/20/2016,Used an evolution of the tools used by Sandworm.,"A threat actor compromised computer networks that control an electricity substation in the north of the Ukrainian capital, Kiev, causing a power outage. To accomplish its task, the threat actor used a tool known as CrashOverride. ",,Ukrenergo,Russian Federation,Sabotage,Private sector,http://www.reuters.com/article/us-ukraine-crisis-cyber-attacks-idUSKBN1491ZF,https://dragos.com/blog/crashoverride/CrashOverride-01.pdf,https://www.wired.com/story/russian-hackers-attack-ukraine
Compromise of the World Anti-Doping Agency,9/13/2016,Believed to be the work of APT 28,"The World Anti-Doping Agency (WADA) confirmed in September 2016 that it had been compromised by suspected Russian threat actors in a data leak of confidential information about forty-one athletes who competed in the Rio Olympic Games. The data revealed drug-test results and medical data pertaining to “therapeutic use exemptions,” situations in which WADA allows athletes to take banned substances if their usage is deemed legitimate.

A group using the Fancy Bear moniker, the same term some security experts assign to a Russian state-sponsored threat actor, claimed responsibility for the compromise. Some commentators viewed the incident as Russian retaliation for a WADA report that detailed Moscow-sanctioned efforts to provide performance-enhancing drugs to Russian athletes during the 2014 Sochi Winter Olympics.

The United States, Australia, Canada, New Zealand, and the United Kingdom issued statements attributing the incident to Russian military intelligence. Separately, the United States issued an indictment against seven alleged Russian military intelligence officials involved in the incident.",Denouncement   https://www.wada-ama.org/en/media/news/2016-09/wada-confirms-attack-by-russian-cyber-espionage-group,World Anti-Doping Agency,Russian Federation,Espionage,Civil society,https://www.wada-ama.org/en/media/news/2016-09/wada-confirms-attack-by-russian-cyber-espionage-group,https://www.threatconnect.com/blog/fancy-bear-anti-doping-agency-phishing/,https://www.theguardian.com/sport/2016/nov/25/fancy-bears-hack-again-with-attack-on-senior-anti-doping-officials
Compromise of gaming companies,10/18/2016,Believed to be the work of Winnti Umbrella,"A threat actor uses a tool called PassCV to target video game companies, stealing digital certificates to use in cyber operations against other targets.",,"China, Taiwan, South Korea, United States, Russia",China,Espionage,Private sector,https://blog.cylance.com/digitally-signed-malware-targeting-gaming-companies,https://401trg.com/burning-umbrella/,
Spyware linked to Indonesia found in proxy servers in Australia,1/23/2016,Indonesia,"A threat actor used FinFisher, also known as FinSpy, to infect mobile phones and computers and place targets under surveillance. The threat actor, allegedly the Indonesian government, used a proxy server inside the Global Switch Sydney East data center in Ultimo, Australia, to obscure their identity.",,Australia,Indonesia,Espionage,Civil society,https://www.zdnet.com/article/finfisher-spyware-linked-to-indonesian-government-found-in-sydney-report/,https://www.abc.net.au/news/2016-01-26/notorious-spyware-used-to-take-over-computers-found-in-sydney/7114734,
Yahoo breach (2014),9/22/2016,Same state sponsor as the 2016 breach,"A threat actor compromised over approximately five hundred million accounts, giving it access to the names, email addresses, telephone numbers, and dates of birth associated with the accounts. Yahoo discloses that the compromise took place in 2014.",,Yahoo,,Espionage,Private sector,https://investor.yahoo.net/releasedetail.cfm?releaseid=990570,https://www.theguardian.com/technology/2016/sep/22/yahoo-hack-data-state-sponsored,
Attempted compromise of U.S. think tanks,11/9/2016,Believed to be the work of the Dukes,A threat actor attempted to compromise the networks of U.S. think tanks associated with international affairs and national security. The attempts occurred shortly after the U.S. election in 2016.,,"Council on Foreign Relations, Brookings Institution",Russian Federation,Espionage,Civil society,https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/,,
Unnamed Actor,4/13/2016,,"This threat actor compromises civil society groups the Chinese Communist Party views as hostile to its interests, such as Tibetan, Uyghur, Hong Kong, and Taiwanese activist. The threat actor also targeted the Myanmar electoral commission.",,"China, Hong Kong, Taiwan, Myanmar",China,Espionage,"Civil society, Government",https://www.arbornetworks.com/blog/asert/four-element-sword-engagement/,https://citizenlab.org/2016/04/between-hong-kong-and-burma/,
Prince of Persia,5/2/2016,,"This threat actor targets governments and businesses of multiple countries, including the United States, Israel, and Denmark.",,"Israel, United States, Denmark, Iran, United Kingdom, Canada, France, Germany, Russia, China, Syria, Saudi Arabia, Sweden, Italy, Bahrain",Iran (Islamic Republic of),Espionage,"Government, Private sector",http://researchcenter.paloaltonetworks.com/2016/05/prince-of-persia-infy-malware-active-in-decade-of-targeted-attacks/,https://fe-ddis.dk/cfcs/CFCSDocuments/Phishing%20uden%20fangst.pdf,http://researchcenter.paloaltonetworks.com/2016/06/unit42-prince-of-persia-game-over/
Compromise of Burmese government websites,1/12/2016,,A threat actor compromised Burmese websites in an attempt to compromise visitors to those websites for espionage purposes.,,Myanmar,,Espionage,"Government, Civil society",https://citizenlab.org/2015/10/targeted-attacks-ngo-burma/,https://www.arbornetworks.com/blog/asert/wp-content/uploads/2016/01/ASERT-Threat-Intelligence-Brief-2015-08-Uncovering-the-Seven-Point-Dagger.pdf,http://researchcenter.paloaltonetworks.com/2015/06/evilgrab-delivered-by-watering-hole-attack-on-president-of-myanmars-website/
Warning of impending incident on Russian banking network,12/2/2016,,Russian authorities warned that a foreign intelligence agency was seeking to compromise its banking sector.,,Russia,,Data destruction,Private sector,http://www.fsb.ru/fsb/press/message/single.htm%21id%3D10438041%40fsbMessage.html,http://www.reuters.com/article/us-russia-cyberattack-banks-idUSKBN13R0NG,
Onion Dog,5/20/2016,Possibly linked to Icefog and the Dark Seoul compromise,"This threat actor targets the South Korean government, transportation, and energy sectors.",,South Korea,,Espionage,"Government, Private sector",https://ti.360.com/upload/report/file/Operation_OnionDog-20160520-.pdf,http://www.chinadaily.com.cn/china/2016-03/09/content_23794129.htm,http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml
Mofang,6/15/2016,,"This threat actor compromises government and critical infrastructure entities, primarily in Myanmar, for espionage purposes.",,"Myanmar, Canada, United States, Germany, India, South Korea, Singapore",China,Espionage,"Government, Private sector",https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf,https://www.wired.com/2016/06/revealed-yet-another-chinese-group-hacking-countrys-economic-bottom-line/,
RUAG espionage,5/23/2016,Believed to be the work of the Turla group,A threat actor compromised a Swiss defense contractor.,,Switzerland,Russian Federation,Espionage,Private sector,https://www.govcert.admin.ch/blog/22/technical-report-about-the-ruag-espionage-case,https://www.theregister.co.uk/2016/05/24/anatomy_of_a_breach_swiss_cert_publishes_analysis_of_ruag_attack/,
Operation Mermaid,7/7/2016,,This threat actor is based in the Middle East (possibly Iran) and targets English- and Persian-language organizations. It is alleged to be the same group behind a compromise of the Danish Ministry of Foreign Affairs.,,"Ministry of Foreign Affairs, Iran,",,Espionage,Government,https://ti.360.com/upload/report/file/mryxdgkb20160707en.pdf,,
Yahoo breach (2016),12/14/2016,Same state sponsor as the 2014 breach,"A threat actor exploited a vulnerability in Yahoo's account log-in process, allowing it to access user accounts without a password. Approximately thirty-two million accounts were affected.",Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions,Yahoo,Russian Federation,Espionage,Private sector,https://investor.yahoo.net/releasedetail.cfm?ReleaseID=1004285,https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions,https://www.theregister.co.uk/2017/02/16/yahoo_forged_cookie_hack_risk/
Project Sauron,7/8/2016,Also known as Strider,"This threat actor compromises targets in the Military, telecommunications, and financial sectors in Belgium, China, Iran, Russia, Sweden, and elsewhere.",,"Russia, Belgium, Sweden, Iran, China, Rwanda",United States,Espionage,"Government, Military",https://securelist.com/analysis/publications/75533/faq-the-projectsauron-apt/,https://www.symantec.com/connect/blogs/strider-cyberespionage-group-turns-eye-sauron-targets,https://arstechnica.com/security/2016/08/researchers-crack-open-unusually-advanced-malware-that-hid-for-5-years/
